ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL;CODE_ASA;ID_CULTU;ID_TYPE;ID_TYPESOI;ID_ASA;ID_FARM;CLASS_CULT
376460;0,88;LUZ;16;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;105;1;1;1;12;2
9472639;1,03;LU6;16;Gravitaire;005-15820;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;103;1;1;1;6;2
376549;2,94;BTP;1;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;2;1;1;1;12;6
376631;1,38;MLG;16;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;118;1;1;1;12;2
376552;0,53;LU6;16;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;103;1;1;1;3;2
376635;0,47;PRL;18;Gravitaire;005-15476;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;2;4
376477;0,14;PRL;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;3;4
376563;0,92;PRL;18;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;16;4
9472641;0,49;MLG;16;Gravitaire;005-15895;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;118;1;1;1;7;2
376466;0,53;LU6;16;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;103;1;1;1;12;2
376473;1,02;LUZ;16;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;105;1;1;1;12;2
376472;0,84;VRG;20;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;173;1;1;1;12;5
376554;0,4;LU6;16;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;103;1;1;1;11;2
376557;2,17;PRL;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;3;4
9472696;1,87;PRL;18;Gravitaire;005-15895;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;7;4
9472697;0,59;PRL;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;3;4
376632;0,44;BTH;1;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;14;8
376560;2,24;LUZ;16;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;105;1;1;1;12;2
376636;0,11;PRL;18;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;16;4
376624;0,85;BTH;1;Gravitaire;005-15820;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;6;8
376550;0,34;LU5;16;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;102;1;1;1;3;2
376556;0,17;PRL;18;Gravitaire;005-15476;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;2;4
374947;0,57;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
374936;0,23;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
374948;0,31;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
