ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL
369194;0,4;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369368;0,1;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369187;0,71;BTH;1;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369277;0,51;PRL;18;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
9471196;0,64;ORH;3;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369101;0,05;ORH;3;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369272;0,62;TTH;4;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369273;1,64;PTR;19;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369292;0,16;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369293;16,13;BOP;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369175;0,1;PRL;18;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369100;1,65;BOP;17;0;005-16757;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
369186;0,48;BOP;17;0;005-16757;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
369190;1;PTR;19;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369191;0,61;BOP;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369181;1,19;PTR;19;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369180;2,4;PTR;19;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369285;1,07;PTR;19;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369284;1,11;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369179;1,35;BOP;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
